attributes;image_url;unit;category;article;sale_price;price;name;url;weight
Белки: 19;/imgs/products_w/14338/steyk-ribay-iz-mramornoy-govyadiny-ohl----400-g-1.JPG;кг;Говядина и баранина;14338;;2995;Стейк Рибай из мраморной говядины охл. ~ 400 г;steyk-ribay-iz-mramornoy-govyadiny-ohl----400-g.html;0.4
Белки: ;/imgs/products_w/13349/biologicheski-aktivnaya-dobavka-k-pische-botanik-skin-shot-1.1631523389.jpg;шт;Суперфуды и протеины ;13349;;185.7;Биологически активная добавка к пище Ботаник Скин шот;biologicheski-aktivnaya-dobavka-k-pische-botanik-skin-shot.html;1
Белки: ;/imgs/products_w/12840/ryukzak-detskiy-toddlepak-lvenok-1.jpg;шт;Аксессуары для детей;12840;;3824.6;Рюкзак детский TRUNKI Львенок, Toddlepak;ryukzak-detskiy-toddlepak-lvenok.html;1
Белки: ;/imgs/products_w/12841/ryukzak-detskiy-toddlepak-tigrenok-1.jpg;шт;Аксессуары для детей;12841;;3824.6;Рюкзак детский TRUNKI Тигренок, Toddlepak;ryukzak-detskiy-toddlepak-tigrenok.html;1
Белки: ;/imgs/products_w/9770/losos-lomtiki-slabogo-soleniya-ecomarket-ru---300-g-1.jpg;шт;Рыба и морепродукты;9770;;895;Семга слабого соления (Лосось Атлантический) Ecomarket.ru - 300 г;losos-lomtiki-slabogo-soleniya-ecomarket-ru---300-g.html;1
Белки: ;/imgs/products_w/12842/ryukzak-detskiy-toddlepak-dinozavrik-1.jpg;шт;Аксессуары для детей;12842;;3824.6;Рюкзак детский TRUNKI Динозаврик, Toddlepak;ryukzak-detskiy-toddlepak-dinozavrik.html;1
Белки: ;/imgs/products_w/7754/zubnaya-pasta-biorepair-pro-white---75-ml-1.jpeg;шт;Уход за полостью рта;7754;685.6;787;Зубная паста Biorepair Pro White - 75 мл;zubnaya-pasta-biorepair-pro-white---75-ml.html;1
Белки: ;/imgs/products_w/11596/podarochnyy-nabor-ecobox-1.jpg;шт;Подарочные наборы;11596;3589.2;3589.2;Подарочный набор ECOBOX;podarochnyy-nabor-ecobox.html;1
Белки: ;/imgs/products_w/10079/zubnaya-pasta-kompleksnaya-zaschita--biorepair---75-ml-1.jpeg;шт;Уход за полостью рта;10079;;683.6;Зубная паста комплексная защита, Biorepair Total Protective Repair - 75 мл;zubnaya-pasta-kompleksnaya-zaschita--biorepair-total-protective-repair---75-ml.html;1
Белки: 12,7 ;/imgs/products_w/354/yayco-kurinoe-fermerskoe-beloe--10-sht--v-upakovke-1.jpg;упак;Яйца и майонез;354;;135;Яйцо куриное фермерское белое Ecomarket.ru - 10 шт. в упаковке;yayco-kurinoe-fermerskoe-beloe-ecomarket-ru--10-sht--v-upakovke.html;1
Белки: ;/imgs/products_w/10084/zubnaya-pasta-mgnovennoe-otbelivanie-zubov-blanx---126-g-1.jpeg;шт;Уход за полостью рта;10084;;558.6;Зубная паста мгновенное отбеливание зубов Blanx White Snock instant White - 126 г;zubnaya-pasta-mgnovennoe-otbelivanie-zubov-blanx-white-snock-instant-white---126-g.html;1
Белки: 0.8 ;/imgs/products_w/2414/ogurcy-malosolnye---500-gr-1.jpg;шт;Соленья;2414;;285;Огурцы малосольные ~ 500 г;ogurcy-malosolnye---500-g.html;1
Белки: ;/imgs/products_w/2950/dubovaya-razdelochnaya-doska-ruchnoy-raboty-pod-sibasa-1.jpg;шт;Для кухни;2950;;1295.7;Дубовая разделочная доска ручной работы под сибаса Ecomarket.ru - 50х12х2,5 см;dubovaya-razdelochnaya-doska-ruchnoy-raboty-pod-sibasa-ecomarket-ru.html;1
Белки: ;/imgs/products_w/6042/cvetochnaya-kompoziciya-melodiya-1.1634308164.JPG;шт;Цветы;6042;;3900;Цветочная композиция Мелодия;cvetochnaya-kompoziciya-melodiya.html;1
Белки: ;/imgs/products_w/6043/cvetochnaya-kompoziciya-provans-1.JPG;шт;Цветы;6043;;3800;Цветочная композиция Прованс;cvetochnaya-kompoziciya-provans.html;1
Белки: ;/imgs/products_w/6045/cvetochnaya-kompoziciya-shantal-1.JPG;шт;Цветы;6045;;3500;Цветочная композиция Шанталь;cvetochnaya-kompoziciya-shantal.html;1
Белки: 22,5;/imgs/products_w/13742/syr-rossiyskiy-imperator-iz-korovego-moloka--50--250-g-1.jpg;шт;Сыры ;13742;;329.7;Сыр Российский Император из коровьего молока 50% Ecomarket.ru - 250 г;syr-rossiyskiy-imperator-iz-korovego-moloka--50--250-g.html;1
Белки: ;/imgs/products_w/12474/shampun-rastitelnyy-granat-legkoy-stepeni-uvlazhneniya--265ml--daily-herbal-moisturizing-pomegranate-1.1628183860.jpg;шт;Уход за волосами;12474;;1790.9;Шампунь Hempz растительный Гранат легкой степени увлажнения - 265 мл;shampun-rastitelnyy-granat-legkoy-stepeni-uvlazhneniya--265ml--daily-herbal-moisturizing-pomegranate.html;1
Белки: ;/imgs/products_w/8891/termostakan-ecomarket-vakkumnyy---420-ml-1.JPG;шт;Посуда ;8891;;1945.7;Термостакан Ecomarket.ru ваккумный - 420 мл;termostakan-ecomarket-ru-vakkumnyy---420-ml.html;1
Белки: ;/imgs/products_w/12233/pomidory-pink-paradayz-sladkie---500-g-1.1627480070.jpg;кг;Овощи;12233;;395.8;Помидоры Оренбург сладкие ~ 500 г;pomidory-orenburg-sladkie---500-g.html;0.5
